species,lon,lat,source
Ilicura militaris,-44.59333,-22.465172,Hasui
Piprites pileata,-44.59333,-22.465172,Hasui
Dysithamnus xanthopterus,-44.601352,-22.462903,Hasui
Heliobletus contaminatus,-44.624437,-22.421785,Hasui
Drymophila genei,-44.624437,-22.421785,Hasui
Anabazenops fuscus,-44.581441,-22.472811,Hasui
Sclerurus scansor,-44.581441,-22.472811,Hasui
Drymophila ochropyga,-44.581441,-22.472811,Hasui
Rhopias gularis,-44.581441,-22.472811,Hasui
Mionectes rufiventris,-44.581441,-22.472811,Hasui
Ilicura militaris,-44.581441,-22.472811,Hasui
Drymophila genei,-44.5667,-22.5,Hasui
Heliobletus contaminatus,-49.333333,-24.116667,Hasui
Anabacerthia lichtensteini,-49.333333,-24.116667,Hasui
Schiffornis virescens,-49.333333,-24.116667,Hasui
Philydor atricapillus,-51.5,-20.65,Hasui
Anabacerthia lichtensteini,-51.5,-20.65,Hasui
Hemitriccus orbitatus,-51.5,-20.65,Hasui
Rhopias gularis,-48,-23.666667,Hasui
Neopelma aurifrons,-48,-23.666667,Hasui
Phylloscartes oustaleti,-48,-23.666667,Hasui
Anabacerthia amaurotis,-48,-23.666667,Hasui
Anabazenops fuscus,-48,-23.666667,Hasui
Drymophila ochropyga,-48,-23.666667,Hasui
Haplospiza unicolor,-48,-23.666667,Hasui
Philydor atricapillus,-48,-23.666667,Hasui
Saltator fuliginosus,-48,-23.666667,Hasui
Schiffornis virescens,-48,-23.666667,Hasui
Neopelma chrysolophum,-48,-23.666667,Hasui
Mionectes rufiventris,-48,-23.666667,Hasui
Phylloscartes oustaleti,-43.783333,-22.866667,Hasui
Neopelma chrysolophum,-43.8,-20.25,Hasui
Merulaxis ater,-48.866667,-24.6,Hasui
Cichlocolaptes leucophrus,-48.583333,-24.583333,Hasui
Anabacerthia lichtensteini,-48.583333,-24.583333,Hasui
Sclerurus scansor,-48.583333,-24.583333,Hasui
Terenura maculata,-48.583333,-24.583333,Hasui
Myrmotherula unicolor,-48.583333,-24.583333,Hasui
